scientific_name,climate_zone,season,watering_adjustment,sunlight_adjustment,special_notes,
Ocimum tenuiflorum,tropical,summer,Increase watering,Provide afternoon shade,Protect from extreme heat,
Aloe vera,arid,summer,Reduce watering,Full sun exposure,Avoid excess moisture,
Moringa oleifera,tropical,monsoon,Reduce watering,None,Ensure drainage,
Murraya koenigii,subtropical,winter,Reduce watering,Full sun,Protect from frost,
Hibiscus rosa-sinensis,tropical,summer,Increase watering,Partial shade,Encourage flowering,
Rosa indica,temperate,winter,Reduce watering,Full sun,Prune in winter,
Jasminum sambac,tropical,monsoon,Moderate watering,Partial sun,Prevent root rot,
Mentha spicata,temperate,summer,Increase watering,Partial shade,Prevent drying,
Cymbopogon citratus,tropical,summer,Increase watering,Full sun,Harvest regularly,
Withania somnifera,arid,winter,Minimal watering,Full sun,Dormant phase,
Tinospora cordifolia,tropical,monsoon,Moderate watering,Partial shade,Provide support,
Bacopa monnieri,tropical,summer,Increase watering,Partial shade,Keep soil moist,
Ficus religiosa,tropical,summer,Weekly watering,Full sun,Large canopy,
Ficus benghalensis,tropical,summer,Weekly watering,Full sun,Requires space,
Tulipa gesneriana,temperate,winter,Minimal watering,Full sun,Bulb dormancy,
Saraca asoca,tropical,summer,Increase watering frequency,Provide partial shade,Protect young plants from heat stress
Phyllanthus emblica,tropical,monsoon,Reduce watering,Full sun,Good drainage prevents root disease
Phyllanthus emblica,tropical,winter,Low watering,Full sun,Supports flowering initiation
Phyllanthus emblica,subtropical,summer,Moderate watering,Full sun,Mulching beneficial
Phyllanthus emblica,subtropical,monsoon,Low watering,Full sun,Prune after monsoon
Phyllanthus emblica,subtropical,winter,Low watering,Full sun,Frost tolerant when mature
Phyllanthus emblica,temperate,summer,Moderate watering,Full sun,Young plants need protection
Phyllanthus emblica,temperate,monsoon,Low watering,Full sun,Avoid stagnant soil
Phyllanthus emblica,temperate,winter,Minimal watering,Full sun,Protect young plants from frost
Justicia adhatoda,tropical,summer,Increase watering,Partial shade,Heat stress reduces leaf quality
Justicia adhatoda,tropical,monsoon,Reduce watering,Filtered sunlight,Prone to fungal issues
Justicia adhatoda,tropical,winter,Moderate watering,Full morning sun,Encourages leaf growth
Justicia adhatoda,subtropical,summer,Moderate watering,Partial shade,Avoid harsh afternoon sun
Justicia adhatoda,subtropical,monsoon,Low watering,Filtered sunlight,Improve air circulation
Justicia adhatoda,subtropical,winter,Low watering,Full sun,Cold slows growth
Justicia adhatoda,temperate,summer,Moderate watering,Partial shade,Grow in sheltered locations
Justicia adhatoda,temperate,monsoon,Low watering,Filtered sunlight,Ensure soil warmth
Justicia adhatoda,temperate,winter,Minimal watering,Full sun,Protect from frost
Asparagus racemosus,tropical,summer,Moderate watering,Partial shade,Soil should remain cool
Asparagus racemosus,tropical,monsoon,Reduce watering,Filtered sunlight,Avoid tuber rot
Asparagus racemosus,tropical,winter,Low watering,Full sun,Supports root strength
Asparagus racemosus,subtropical,summer,Moderate watering,Partial shade,Climbing support needed
Asparagus racemosus,subtropical,monsoon,Low watering,Filtered sunlight,Drainage essential
Asparagus racemosus,subtropical,winter,Low watering,Full sun,Protect young plants
Asparagus racemosus,temperate,summer,Moderate watering,Partial shade,Grow under protection
Asparagus racemosus,temperate,monsoon,Low watering,Filtered sunlight,Avoid cold rain exposure
Asparagus racemosus,temperate,winter,Minimal watering,Full sun,Tubers sensitive to frost
Andrographis paniculata,tropical,summer,Low watering,Full sun,Drought tolerant herb
Andrographis paniculata,tropical,monsoon,Moderate watering,Full sun,Thrives in monsoon
Andrographis paniculata,tropical,winter,Low watering,Full sun,Cold slows growth
Andrographis paniculata,subtropical,summer,Low watering,Full sun,Avoid waterlogging
Andrographis paniculata,subtropical,monsoon,Moderate watering,Full sun,Best growth period
Andrographis paniculata,subtropical,winter,Minimal watering,Full sun,Annual lifecycle completes
Andrographis paniculata,temperate,summer,Moderate watering,Full sun,Grow as seasonal herb
Andrographis paniculata,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Andrographis paniculata,temperate,winter,Not suitable,Full sun,Does not tolerate frost
Boerhavia diffusa,tropical,summer,Low watering,Full sun,Highly drought tolerant
Boerhavia diffusa,tropical,monsoon,Moderate watering,Full sun,Rapid spreading growth
Boerhavia diffusa,tropical,winter,Low watering,Full sun,Growth slows naturally
Boerhavia diffusa,subtropical,summer,Low watering,Full sun,Avoid overwatering
Boerhavia diffusa,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Boerhavia diffusa,subtropical,winter,Low watering,Full sun,Minimal care required
Boerhavia diffusa,temperate,summer,Moderate watering,Full sun,Seasonal growth only
Boerhavia diffusa,temperate,monsoon,Moderate watering,Full sun,Ensure warm soil
Boerhavia diffusa,temperate,winter,Not suitable,Full sun,Does not survive frost
Eclipta prostrata,tropical,summer,Moderate watering,Full sun,Prevent soil from drying
Eclipta prostrata,tropical,monsoon,Reduce watering,Full sun,Grows vigorously
Eclipta prostrata,tropical,winter,Low watering,Full sun,Perennial in warm regions
Eclipta prostrata,subtropical,summer,Moderate watering,Full sun,Maintain soil moisture
Eclipta prostrata,subtropical,monsoon,Low watering,Full sun,Trim excess growth
Eclipta prostrata,subtropical,winter,Low watering,Full sun,Growth slows
Eclipta prostrata,temperate,summer,Moderate watering,Full sun,Grow as annual
Eclipta prostrata,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Eclipta prostrata,temperate,winter,Not suitable,Full sun,Cold sensitive
Gymnema sylvestre,tropical,summer,Moderate watering,Partial shade,Avoid drying vines
Gymnema sylvestre,tropical,monsoon,Reduce watering,Filtered sunlight,Support healthy climbing
Gymnema sylvestre,tropical,winter,Low watering,Full sun,Growth slows
Gymnema sylvestre,subtropical,summer,Moderate watering,Partial shade,Provide trellis
Gymnema sylvestre,subtropical,monsoon,Low watering,Filtered sunlight,Drainage important
Gymnema sylvestre,subtropical,winter,Low watering,Full sun,Protect from cold
Gymnema sylvestre,temperate,summer,Moderate watering,Partial shade,Grow in protected areas
Gymnema sylvestre,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Gymnema sylvestre,temperate,winter,Not suitable,Full sun,Cold intolerant
Terminalia chebula,tropical,summer,Moderate watering,Full sun,Avoid moisture stress
Terminalia chebula,tropical,monsoon,Low watering,Full sun,Ensure drainage
Terminalia chebula,tropical,winter,Low watering,Full sun,Supports fruit maturation
Terminalia chebula,subtropical,summer,Moderate watering,Full sun,Mulching recommended
Terminalia chebula,subtropical,monsoon,Low watering,Full sun,Prune after monsoon
Terminalia chebula,subtropical,winter,Low watering,Full sun,Cold tolerant
Terminalia chebula,temperate,summer,Moderate watering,Full sun,Protect young plants
Terminalia chebula,temperate,monsoon,Low watering,Full sun,Avoid stagnant soil
Terminalia chebula,temperate,winter,Minimal watering,Full sun,Frost protection needed
Terminalia bellirica,tropical,summer,Moderate watering,Full sun,Deep soil preferred
Terminalia bellirica,tropical,monsoon,Low watering,Full sun,Drainage essential
Terminalia bellirica,tropical,winter,Low watering,Full sun,Hardy once mature
Terminalia bellirica,subtropical,summer,Moderate watering,Full sun,Mulch soil surface
Terminalia bellirica,subtropical,monsoon,Low watering,Full sun,Avoid waterlogging
Terminalia bellirica,subtropical,winter,Low watering,Full sun,Minimal intervention
Terminalia bellirica,temperate,summer,Moderate watering,Full sun,Young trees sensitive
Terminalia bellirica,temperate,monsoon,Low watering,Full sun,Ensure warmth
Terminalia bellirica,temperate,winter,Minimal watering,Full sun,Frost sensitive when young
Picrorhiza kurroa,tropical,summer,Not suitable,Partial shade,Heat stress fatal
Picrorhiza kurroa,tropical,monsoon,Not suitable,Filtered sunlight,Does not tolerate humidity
Picrorhiza kurroa,tropical,winter,Not suitable,Partial shade,Lowland climates unsuitable
Picrorhiza kurroa,subtropical,summer,Low watering,Partial shade,Cool microclimate required
Picrorhiza kurroa,subtropical,monsoon,Moderate watering,Filtered sunlight,Excess moisture harmful
Picrorhiza kurroa,subtropical,winter,Low watering,Partial shade,Cold tolerant
Picrorhiza kurroa,temperate,summer,Moderate watering,Partial shade,Native growing season
Picrorhiza kurroa,temperate,monsoon,Low watering,Filtered sunlight,Prevent root rot
Picrorhiza kurroa,temperate,winter,Minimal watering,Full sun,Dormant period
Berberis aristata,tropical,summer,Low watering,Partial shade,Heat reduces growth
Berberis aristata,tropical,monsoon,Low watering,Filtered sunlight,Avoid humidity
Berberis aristata,tropical,winter,Not suitable,Full sun,Lowland unsuitable
Berberis aristata,subtropical,summer,Low watering,Partial shade,Prefers cool conditions
Berberis aristata,subtropical,monsoon,Low watering,Filtered sunlight,Ensure air flow
Berberis aristata,subtropical,winter,Low watering,Full sun,Cold tolerant shrub
Berberis aristata,temperate,summer,Moderate watering,Full sun,Healthy growth
Berberis aristata,temperate,monsoon,Low watering,Full sun,Drainage important
Berberis aristata,temperate,winter,Minimal watering,Full sun,Dormant hardy shrub
Rubia cordifolia,tropical,summer,Moderate watering,Partial shade,Prevent soil drying
Rubia cordifolia,tropical,monsoon,Low watering,Filtered sunlight,Good drainage essential
Rubia cordifolia,tropical,winter,Low watering,Full sun,Growth slows
Rubia cordifolia,subtropical,summer,Moderate watering,Partial shade,Support vines
Rubia cordifolia,subtropical,monsoon,Low watering,Filtered sunlight,Avoid fungal disease
Rubia cordifolia,subtropical,winter,Low watering,Full sun,Cold slows growth
Rubia cordifolia,temperate,summer,Moderate watering,Partial shade,Grow under protection
Rubia cordifolia,temperate,monsoon,Low watering,Filtered sunlight,Ensure warmth
Rubia cordifolia,temperate,winter,Not suitable,Full sun,Cold sensitive
Cyperus rotundus,tropical,summer,Low watering,Full sun,Highly drought resistant
Cyperus rotundus,tropical,monsoon,Moderate watering,Full sun,Spreads aggressively
Cyperus rotundus,tropical,winter,Low watering,Full sun,Minimal care needed
Cyperus rotundus,subtropical,summer,Low watering,Full sun,Avoid excess irrigation
Cyperus rotundus,subtropical,monsoon,Moderate watering,Full sun,Control spread
Cyperus rotundus,subtropical,winter,Low watering,Full sun,Growth slows
Cyperus rotundus,temperate,summer,Moderate watering,Full sun,Seasonal growth
Cyperus rotundus,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Cyperus rotundus,temperate,winter,Not suitable,Full sun,Does not tolerate frost
Pueraria tuberosa,tropical,summer,Moderate watering,Full sun,Deep soil required
Pueraria tuberosa,tropical,monsoon,Low watering,Full sun,Prevent waterlogging
Pueraria tuberosa,tropical,winter,Low watering,Full sun,Supports tuber maturity
Pueraria tuberosa,subtropical,summer,Moderate watering,Full sun,Provide strong support
Pueraria tuberosa,subtropical,monsoon,Low watering,Full sun,Drainage critical
Pueraria tuberosa,subtropical,winter,Low watering,Full sun,Cold slows growth
Pueraria tuberosa,temperate,summer,Moderate watering,Full sun,Grow in protected zones
Pueraria tuberosa,temperate,monsoon,Low watering,Full sun,Soil warmth important
Pueraria tuberosa,temperate,winter,Not suitable,Full sun,Cold intolerant
Abutilon indicum,tropical,summer,Moderate watering,Full sun,Avoid drought stress
Abutilon indicum,tropical,monsoon,Low watering,Full sun,Prune after rains
Abutilon indicum,tropical,winter,Low watering,Full sun,Minimal care
Abutilon indicum,subtropical,summer,Moderate watering,Full sun,Mulching helps
Abutilon indicum,subtropical,monsoon,Low watering,Full sun,Ensure drainage
Abutilon indicum,subtropical,winter,Low watering,Full sun,Cold slows growth
Abutilon indicum,temperate,summer,Moderate watering,Full sun,Grow as seasonal shrub
Abutilon indicum,temperate,monsoon,Low watering,Full sun,Protect from cold rain
Abutilon indicum,temperate,winter,Not suitable,Full sun,Cold sensitive
Sida cordifolia,tropical,summer,Low watering,Full sun,Drought tolerant herb
Sida cordifolia,tropical,monsoon,Moderate watering,Full sun,Rapid vegetative growth
Sida cordifolia,tropical,winter,Low watering,Full sun,Growth slows
Sida cordifolia,subtropical,summer,Low watering,Full sun,Avoid excess water
Sida cordifolia,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Sida cordifolia,subtropical,winter,Low watering,Full sun,Minimal care
Sida cordifolia,temperate,summer,Moderate watering,Full sun,Seasonal cultivation
Sida cordifolia,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Sida cordifolia,temperate,winter,Not suitable,Full sun,Cold intolerant
Plumbago zeylanica,tropical,summer,Low watering,Full sun,Avoid excess moisture
Plumbago zeylanica,tropical,monsoon,Low watering,Full sun,Root rot risk
Plumbago zeylanica,tropical,winter,Low watering,Full sun,Active growth continues
Plumbago zeylanica,subtropical,summer,Low watering,Full sun,Prefers dry soil
Plumbago zeylanica,subtropical,monsoon,Low watering,Full sun,Excellent drainage required
Plumbago zeylanica,subtropical,winter,Low watering,Full sun,Cold slows metabolism
Plumbago zeylanica,temperate,summer,Moderate watering,Full sun,Grow under protection
Plumbago zeylanica,temperate,monsoon,Low watering,Full sun,Protect from cold rains
Plumbago zeylanica,temperate,winter,Not suitable,Full sun,Cold sensitive
Solanum xanthocarpum,tropical,summer,Low watering,Full sun,Drought tolerant shrub
Solanum xanthocarpum,tropical,monsoon,Moderate watering,Full sun,Prune excess growth
Solanum xanthocarpum,tropical,winter,Low watering,Full sun,Growth slows
Solanum xanthocarpum,subtropical,summer,Low watering,Full sun,Avoid waterlogging
Solanum xanthocarpum,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Solanum xanthocarpum,subtropical,winter,Low watering,Full sun,Cold slows growth
Solanum xanthocarpum,temperate,summer,Moderate watering,Full sun,Seasonal shrub
Solanum xanthocarpum,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Solanum xanthocarpum,temperate,winter,Not suitable,Full sun,Cold intolerant
Mimusops elengi,tropical,summer,Moderate deep watering,Full sun,Young plants benefit from mulching
Mimusops elengi,tropical,monsoon,Reduce watering,Full sun,Ensure good drainage
Mimusops elengi,tropical,winter,Low watering,Full sun,Minimal care required
Mimusops elengi,subtropical,summer,Moderate watering,Full sun,Avoid moisture stress
Mimusops elengi,subtropical,monsoon,Low watering,Full sun,Prune lightly after rains
Mimusops elengi,subtropical,winter,Low watering,Full sun,Cold tolerant when mature
Mimusops elengi,temperate,summer,Moderate watering,Full sun,Protect young saplings
Mimusops elengi,temperate,monsoon,Low watering,Full sun,Drainage critical
Mimusops elengi,temperate,winter,Minimal watering,Full sun,Frost protection advised
Bauhinia variegata,tropical,summer,Moderate watering,Full sun,Encourages flowering
Bauhinia variegata,tropical,monsoon,Low watering,Full sun,Avoid waterlogging
Bauhinia variegata,tropical,winter,Low watering,Full sun,Supports bud formation
Bauhinia variegata,subtropical,summer,Moderate watering,Full sun,Mulching beneficial
Bauhinia variegata,subtropical,monsoon,Low watering,Full sun,Prune after flowering
Bauhinia variegata,subtropical,winter,Low watering,Full sun,Cold tolerant
Bauhinia variegata,temperate,summer,Moderate watering,Full sun,Young plants sensitive
Bauhinia variegata,temperate,monsoon,Low watering,Full sun,Drainage essential
Bauhinia variegata,temperate,winter,Minimal watering,Full sun,Protect from frost
Clitoria ternatea,tropical,summer,Moderate watering,Full sun to partial shade,Frequent flowering
Clitoria ternatea,tropical,monsoon,Reduce watering,Full sun,Trim excessive growth
Clitoria ternatea,tropical,winter,Low watering,Full sun,Growth slows
Clitoria ternatea,subtropical,summer,Moderate watering,Partial shade,Support vines
Clitoria ternatea,subtropical,monsoon,Low watering,Full sun,Good air circulation needed
Clitoria ternatea,subtropical,winter,Low watering,Full sun,Cold slows flowering
Clitoria ternatea,temperate,summer,Moderate watering,Full sun,Grow as seasonal climber
Clitoria ternatea,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Clitoria ternatea,temperate,winter,Not suitable,Full sun,Cold sensitive
Ricinus communis,tropical,summer,Low watering,Full sun,Drought tolerant once established
Ricinus communis,tropical,monsoon,Moderate watering,Full sun,Rapid vegetative growth
Ricinus communis,tropical,winter,Low watering,Full sun,Growth slows
Ricinus communis,subtropical,summer,Low watering,Full sun,Avoid overwatering
Ricinus communis,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Ricinus communis,subtropical,winter,Low watering,Full sun,Cold slows growth
Ricinus communis,temperate,summer,Moderate watering,Full sun,Seasonal cultivation
Ricinus communis,temperate,monsoon,Moderate watering,Full sun,Ensure warm soil
Ricinus communis,temperate,winter,Not suitable,Full sun,Cold intolerant
Leptadenia reticulata,tropical,summer,Moderate watering,Partial shade,Prevent vine drying
Leptadenia reticulata,tropical,monsoon,Low watering,Filtered sunlight,Ensure drainage
Leptadenia reticulata,tropical,winter,Low watering,Full sun,Growth slows
Leptadenia reticulata,subtropical,summer,Moderate watering,Partial shade,Provide support
Leptadenia reticulata,subtropical,monsoon,Low watering,Filtered sunlight,Avoid fungal issues
Leptadenia reticulata,subtropical,winter,Low watering,Full sun,Protect from cold
Leptadenia reticulata,temperate,summer,Moderate watering,Partial shade,Grow protected
Leptadenia reticulata,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Leptadenia reticulata,temperate,winter,Not suitable,Full sun,Cold sensitive
Swertia chirayita,tropical,summer,Not suitable,Partial shade,Heat stress fatal
Swertia chirayita,tropical,monsoon,Not suitable,Filtered sunlight,High humidity unsuitable
Swertia chirayita,tropical,winter,Not suitable,Partial shade,Lowland climates unsuitable
Swertia chirayita,subtropical,summer,Low watering,Partial shade,Cool microclimate needed
Swertia chirayita,subtropical,monsoon,Moderate watering,Filtered sunlight,Prevent root rot
Swertia chirayita,subtropical,winter,Low watering,Partial shade,Cold tolerant
Swertia chirayita,temperate,summer,Moderate watering,Partial shade,Native growth season
Swertia chirayita,temperate,monsoon,Low watering,Filtered sunlight,Avoid waterlogging
Swertia chirayita,temperate,winter,Minimal watering,Full sun,Dormant period
Echinops echinatus,tropical,summer,Low watering,Full sun,Drought tolerant
Echinops echinatus,tropical,monsoon,Moderate watering,Full sun,Ensure drainage
Echinops echinatus,tropical,winter,Low watering,Full sun,Growth slows
Echinops echinatus,subtropical,summer,Low watering,Full sun,Avoid excess moisture
Echinops echinatus,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Echinops echinatus,subtropical,winter,Low watering,Full sun,Minimal care
Echinops echinatus,temperate,summer,Moderate watering,Full sun,Seasonal growth
Echinops echinatus,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Echinops echinatus,temperate,winter,Not suitable,Full sun,Cold intolerant
Baliospermum montanum,tropical,summer,Moderate watering,Partial shade,Prevent drought stress
Baliospermum montanum,tropical,monsoon,Low watering,Filtered sunlight,Avoid waterlogging
Baliospermum montanum,tropical,winter,Low watering,Full sun,Growth slows
Baliospermum montanum,subtropical,summer,Moderate watering,Partial shade,Mulching helpful
Baliospermum montanum,subtropical,monsoon,Low watering,Filtered sunlight,Good drainage essential
Baliospermum montanum,subtropical,winter,Low watering,Full sun,Cold slows growth
Baliospermum montanum,temperate,summer,Moderate watering,Partial shade,Grow protected
Baliospermum montanum,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Baliospermum montanum,temperate,winter,Not suitable,Full sun,Cold sensitive
Celastrus paniculatus,tropical,summer,Moderate watering,Partial shade,Prevent vine drying
Celastrus paniculatus,tropical,monsoon,Low watering,Filtered sunlight,Support healthy climbing
Celastrus paniculatus,tropical,winter,Low watering,Full sun,Growth slows
Celastrus paniculatus,subtropical,summer,Moderate watering,Partial shade,Provide trellis
Celastrus paniculatus,subtropical,monsoon,Low watering,Filtered sunlight,Avoid fungal disease
Celastrus paniculatus,subtropical,winter,Low watering,Full sun,Protect from cold
Celastrus paniculatus,temperate,summer,Moderate watering,Partial shade,Grow under protection
Celastrus paniculatus,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Celastrus paniculatus,temperate,winter,Not suitable,Full sun,Cold intolerant
Cassia fistula,tropical,summer,Moderate watering,Full sun,Promotes flowering
Cassia fistula,tropical,monsoon,Low watering,Full sun,Avoid waterlogging
Cassia fistula,tropical,winter,Low watering,Full sun,Supports pod development
Cassia fistula,subtropical,summer,Moderate watering,Full sun,Mulch soil surface
Cassia fistula,subtropical,monsoon,Low watering,Full sun,Prune lightly after rains
Cassia fistula,subtropical,winter,Low watering,Full sun,Cold tolerant
Cassia fistula,temperate,summer,Moderate watering,Full sun,Young trees sensitive
Cassia fistula,temperate,monsoon,Low watering,Full sun,Ensure warmth
Cassia fistula,temperate,winter,Minimal watering,Full sun,Frost protection advised
Vachellia nilotica,tropical,summer,Low watering,Full sun,Drought tolerant tree
Vachellia nilotica,tropical,monsoon,Low watering,Full sun,Ensure drainage
Vachellia nilotica,tropical,winter,Low watering,Full sun,Minimal care
Vachellia nilotica,subtropical,summer,Low watering,Full sun,Avoid excess irrigation
Vachellia nilotica,subtropical,monsoon,Low watering,Full sun,Prune if needed
Vachellia nilotica,subtropical,winter,Low watering,Full sun,Cold slows growth
Vachellia nilotica,temperate,summer,Moderate watering,Full sun,Seasonal growth
Vachellia nilotica,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Vachellia nilotica,temperate,winter,Not suitable,Full sun,Cold intolerant
Alstonia scholaris,tropical,summer,Moderate watering,Full sun,Young plants need moisture
Alstonia scholaris,tropical,monsoon,Low watering,Full sun,Good drainage essential
Alstonia scholaris,tropical,winter,Low watering,Full sun,Growth slows
Alstonia scholaris,subtropical,summer,Moderate watering,Full sun,Mulching beneficial
Alstonia scholaris,subtropical,monsoon,Low watering,Full sun,Prune after rains
Alstonia scholaris,subtropical,winter,Low watering,Full sun,Cold tolerant
Alstonia scholaris,temperate,summer,Moderate watering,Full sun,Protect young trees
Alstonia scholaris,temperate,monsoon,Low watering,Full sun,Ensure warmth
Alstonia scholaris,temperate,winter,Minimal watering,Full sun,Frost protection advised
Clerodendrum serratum,tropical,summer,Moderate watering,Partial shade,Prevent leaf scorch
Clerodendrum serratum,tropical,monsoon,Low watering,Filtered sunlight,Ensure drainage
Clerodendrum serratum,tropical,winter,Low watering,Full sun,Growth slows
Clerodendrum serratum,subtropical,summer,Moderate watering,Partial shade,Mulching helpful
Clerodendrum serratum,subtropical,monsoon,Low watering,Filtered sunlight,Improve air flow
Clerodendrum serratum,subtropical,winter,Low watering,Full sun,Cold slows growth
Clerodendrum serratum,temperate,summer,Moderate watering,Partial shade,Grow protected
Clerodendrum serratum,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Clerodendrum serratum,temperate,winter,Not suitable,Full sun,Cold sensitive
Senna tora,tropical,summer,Low watering,Full sun,Drought tolerant
Senna tora,tropical,monsoon,Moderate watering,Full sun,Rapid growth
Senna tora,tropical,winter,Low watering,Full sun,Growth slows
Senna tora,subtropical,summer,Low watering,Full sun,Avoid waterlogging
Senna tora,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Senna tora,subtropical,winter,Low watering,Full sun,Minimal care
Senna tora,temperate,summer,Moderate watering,Full sun,Seasonal herb
Senna tora,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Senna tora,temperate,winter,Not suitable,Full sun,Cold intolerant
Hemidesmus indicus,tropical,summer,Moderate watering,Partial shade,Prevent soil drying
Hemidesmus indicus,tropical,monsoon,Low watering,Filtered sunlight,Ensure drainage
Hemidesmus indicus,tropical,winter,Low watering,Full sun,Growth slows
Hemidesmus indicus,subtropical,summer,Moderate watering,Partial shade,Provide support
Hemidesmus indicus,subtropical,monsoon,Low watering,Filtered sunlight,Avoid fungal disease
Hemidesmus indicus,subtropical,winter,Low watering,Full sun,Cold slows growth
Hemidesmus indicus,temperate,summer,Moderate watering,Partial shade,Grow protected
Hemidesmus indicus,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Hemidesmus indicus,temperate,winter,Not suitable,Full sun,Cold sensitive
Vitex negundo,tropical,summer,Low watering,Full sun,Drought tolerant shrub
Vitex negundo,tropical,monsoon,Moderate watering,Full sun,Prune excess growth
Vitex negundo,tropical,winter,Low watering,Full sun,Growth slows
Vitex negundo,subtropical,summer,Low watering,Full sun,Avoid overwatering
Vitex negundo,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Vitex negundo,subtropical,winter,Low watering,Full sun,Minimal care
Vitex negundo,temperate,summer,Moderate watering,Full sun,Seasonal growth
Vitex negundo,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Vitex negundo,temperate,winter,Not suitable,Full sun,Cold intolerant
Commiphora wightii,tropical,summer,Low watering,Full sun,Extremely drought tolerant
Commiphora wightii,tropical,monsoon,Minimal watering,Full sun,Excess moisture harmful
Commiphora wightii,tropical,winter,Low watering,Full sun,Growth slows
Commiphora wightii,subtropical,summer,Low watering,Full sun,Rocky soil preferred
Commiphora wightii,subtropical,monsoon,Minimal watering,Full sun,Avoid humidity
Commiphora wightii,subtropical,winter,Low watering,Full sun,Cold slows resin flow
Commiphora wightii,temperate,summer,Moderate watering,Full sun,Grow only in arid zones
Commiphora wightii,temperate,monsoon,Not suitable,Full sun,Excess moisture fatal
Commiphora wightii,temperate,winter,Not suitable,Full sun,Cold sensitive
Cissampelos pareira,tropical,summer,Moderate watering,Partial shade,Prevent vine drying
Cissampelos pareira,tropical,monsoon,Low watering,Filtered sunlight,Ensure drainage
