scientific_name,light_requirement,watering_frequency,soil_type,temperature_range,humidity_preference,indoor_outdoor,pot_or_ground,growth_speed,expected_height,beginner_mistakes,toxicity_notes
Asparagus densiflorus,bright indirect light,moderate,well-drained loam,18–35°C,medium,both,pot,moderate,0.6–1 m,Treating as true fern,Toxic to pets
Araucaria heterophylla,bright indirect light,moderate,well-drained loam,15–30°C,medium,indoor,pot,slow,2–3 m,Low humidity,None
Hyophorbe lagenicaulis,full sun,moderate,well-drained sandy soil,20–35°C,medium,outdoor,ground,slow,3–4 m,Overwatering,None
Phoenix roebelenii,full sun to partial shade,moderate,well-drained loam,18–35°C,medium,both,ground,moderate,2–3 m,Ignoring spines,None
Cordyline fruticosa,bright light,moderate,well-drained soil,18–35°C,high,both,ground,moderate,1.5–3 m,Low humidity,None
Gardenia jasminoides,full sun to partial shade,moderate,acidic well-drained soil,18–32°C,high,outdoor,ground,slow,1–2 m,Alkaline soil,None
Catharanthus roseus,full sun,low,well-drained soil,20–40°C,low,outdoor,ground,fast,0.6–1 m,Overwatering,Toxic if ingested
Pelargonium zonale,full sun,moderate,well-drained soil,15–30°C,medium,outdoor,pot,moderate,0.4–0.6 m,Poor drainage,None
Chrysanthemum indicum,full sun,moderate,well-drained loam,15–25°C,medium,outdoor,ground,moderate,0.6–1 m,Skipping pinching,None
Ixora dwarf,full sun to partial shade,moderate,acidic soil,20–35°C,high,outdoor,ground,slow,0.6–1 m,Hard water,None
Ruellia simplex,full sun,moderate,well-drained soil,20–40°C,medium,outdoor,ground,fast,0.6–1 m,Ignoring spread,None
Duranta erecta,full sun,moderate,well-drained loam,20–40°C,medium,outdoor,ground,fast,2–4 m,No pruning,Toxic berries
Pandanus amaryllifolius,partial shade,moderate,moist loam,20–35°C,high,outdoor,ground,moderate,1–1.5 m,Dry soil,None
Jatropha integerrima,full sun,moderate,well-drained soil,20–40°C,medium,outdoor,ground,moderate,2–3 m,Sap exposure,Toxic sap
Allamanda cathartica,full sun,moderate,well-drained soil,20–35°C,medium,outdoor,ground,fast,4–6 m,Overwatering,Toxic sap
Clitoria ternatea,full sun,moderate,well-drained loam,20–35°C,medium,outdoor,ground,fast,2–4 m,Lack of support,None
Impatiens balsamina,partial shade,moderate,moist well-drained soil,18–30°C,high,outdoor,ground,fast,0.4–0.8 m,Direct sun,None
Cosmos bipinnatus,full sun,low,well-drained soil,18–30°C,low,outdoor,ground,fast,1–1.5 m,Excess fertilizer,None
Ficus benghalensis,full sun,moderate,well-drained loam,20–40°C,medium,outdoor,ground,moderate,2–4 m,Underestimating size,None
Livistona chinensis,full sun to partial shade,moderate,well-drained sandy loam,18–35°C,medium,outdoor,ground,slow,6–10 m,Overwatering,None
Callistemon citrinus,full sun,moderate,well-drained soil,15–35°C,medium,outdoor,ground,moderate,3–5 m,Poor pruning,None
Plumeria rubra,full sun,low,well-drained sandy soil,20–40°C,low,outdoor,ground,slow,4–6 m,Overwatering,Toxic sap
Adenium obesum,full sun,low,gritty succulent mix,20–40°C,low,outdoor,pot,slow,0.5–1 m,Waterlogging,Toxic sap
Zephyranthes candida,full sun to partial shade,moderate,well-drained loam,18–35°C,medium,outdoor,ground,fast,0.3–0.4 m,Disturbing bulbs,Toxic bulbs
Canna indica,full sun,moderate,rich well-drained soil,18–35°C,medium,outdoor,ground,fast,1–2 m,Poor nutrition,None
Pentas lanceolata,full sun,moderate,well-drained loam,20–35°C,medium,outdoor,ground,moderate,0.6–1 m,Skipping pruning,None
Verbena hybrida,full sun,moderate,well-drained soil,15–30°C,medium,outdoor,ground,fast,0.3–0.5 m,Waterlogging,None
Gaillardia pulchella,full sun,low,well-drained sandy soil,18–35°C,low,outdoor,ground,fast,0.4–0.7 m,Overwatering,None
Gazania rigens,full sun,low,well-drained sandy soil,18–35°C,low,outdoor,ground,fast,0.2–0.4 m,Excess watering,None
Salvia splendens,full sun,moderate,well-drained soil,18–35°C,medium,outdoor,ground,fast,0.6–1 m,Low sunlight,None
Vinca major,full sun to partial shade,moderate,well-drained soil,15–35°C,medium,outdoor,ground,fast,0.3–0.6 m,Ignoring spread,Toxic if ingested
Lantana camara,full sun,low,well-drained soil,20–40°C,low,outdoor,ground,fast,2–4 m,Overwatering,Toxic berries
Senecio cineraria,full sun,low,well-drained sandy soil,15–30°C,low,outdoor,ground,moderate,0.4–0.6 m,Overwatering,Toxic if ingested
Celosia argentea,full sun,moderate,well-drained loam,20–35°C,medium,outdoor,ground,fast,0.6–1 m,Poor drainage,None
Clerodendrum thomsoniae,full sun to partial shade,moderate,well-drained soil,18–35°C,medium,outdoor,ground,moderate,3–4 m,Lack of support,None
Portulaca oleracea,full sun,low,sandy well-drained soil,20–40°C,low,outdoor,ground,fast,0.2–0.3 m,Overwatering,None
Tithonia diversifolia,full sun,moderate,well-drained soil,18–35°C,medium,outdoor,ground,fast,1.5–3 m,Skipping pruning,None
Coreopsis tinctoria,full sun,low,well-drained soil,15–30°C,low,outdoor,ground,fast,0.6–1 m,Excess fertilizer,None
Butea monosperma,full sun,low,well-drained forest soil,20–40°C,low,outdoor,ground,moderate,10–15 m,Overirrigation,None
Madhuca longifolia,full sun,low,deep loamy soil,20–40°C,medium,outdoor,ground,slow,15–20 m,Ignoring spacing,None
Azadirachta indica,full sun,low,well-drained soil,20–45°C,low,outdoor,ground,fast,15–20 m,Overwatering,None
Shorea robusta,full sun,moderate,deep forest soil,20–40°C,medium,outdoor,ground,slow,25–35 m,Transplanting mature trees,None
Terminalia arjuna,full sun,moderate,moist riverine soil,20–40°C,medium,outdoor,ground,moderate,20–25 m,Dry soil stress,None
Syzygium cumini,full sun,moderate,deep loamy soil,20–40°C,medium,outdoor,ground,moderate,20–30 m,Poor drainage,None
Aegle marmelos,full sun,low,well-drained soil,20–40°C,low,outdoor,ground,slow,10–15 m,Excess watering,None
Terminalia chebula,full sun,moderate,forest loam,20–35°C,medium,outdoor,ground,slow,15–20 m,Harvesting too early,None
Terminalia bellirica,full sun,moderate,deep loam,20–35°C,medium,outdoor,ground,slow,20–25 m,Soil compaction,None
Pongamia pinnata,full sun,low,well-drained soil,20–40°C,low,outdoor,ground,moderate,12–18 m,Waterlogging,None
Ficus religiosa,full sun,low,any well-drained soil,20–40°C,medium,outdoor,ground,moderate,20–30 m,Restricted root space,None
Ficus benghalensis,full sun,low,deep soil,20–40°C,medium,outdoor,ground,moderate,25–30 m,Underestimating spread,None
Cassia fistula,full sun,low,well-drained soil,20–40°C,low,outdoor,ground,moderate,10–15 m,Excess nitrogen,None
Neolamarckia cadamba,full sun,moderate,moist loamy soil,20–40°C,high,outdoor,ground,fast,30–40 m,Drought stress,None
Phyllanthus emblica,full sun,low,light loam,20–40°C,low,outdoor,ground,moderate,8–12 m,Poor pruning,None
Pinus roxburghii,full sun,low,rocky mountain soil,5–30°C,low,outdoor,ground,slow,30–45 m,Planting in plains,None
Cedrus deodara,full sun,low,well-drained mountain soil,0–25°C,low,outdoor,ground,slow,40–50 m,Heat exposure,None
Schleichera oleosa,full sun,low,rocky forest soil,20–40°C,low,outdoor,ground,slow,15–20 m,Overwatering,None
Phoenix sylvestris,full sun,low,sandy loam,20–40°C,low,outdoor,ground,moderate,10–15 m,Poor drainage,None
Diospyros melanoxylon,full sun,low,forest soil,20–40°C,medium,outdoor,ground,slow,15–20 m,Early harvesting,None
Saraca asoca,partial shade,moderate,deep forest loam,20–35°C,high,outdoor,ground,slow,8–12 m,Excess sun exposure,None
Bauhinia variegata,full sun,low,well-drained loam,20–35°C,medium,outdoor,ground,moderate,10–15 m,Overwatering,None
Bombax ceiba,full sun,low,deep alluvial soil,20–40°C,medium,outdoor,ground,fast,20–30 m,Restricted root space,None
Ficus racemosa,full sun,moderate,moist loam,20–40°C,medium,outdoor,ground,moderate,15–25 m,Dry soil stress,None
Prosopis cineraria,full sun,very low,sandy desert soil,25–45°C,low,outdoor,ground,slow,6–10 m,Overirrigation,None
Aegle marmelos,full sun,low,rocky loam,20–40°C,low,outdoor,ground,slow,8–12 m,Excess water,None
Saussurea costus,full sun,moderate,alpine loam,5–20°C,low,outdoor,ground,slow,0.6–1 m,Heat exposure,None
Abutilon indicum,full sun,low,well-drained soil,20–40°C,low,outdoor,ground,fast,1–2 m,Overfertilizing,None
Datura metel,full sun,low,disturbed soils,20–40°C,low,outdoor,ground,fast,1–1.5 m,Uncontrolled access,Highly toxic
Asparagus racemosus,partial shade,moderate,forest loam,20–35°C,medium,outdoor,ground,slow,2–3 m,Root damage,None
Solanum xanthocarpum,full sun,low,rocky soil,20–40°C,low,outdoor,ground,fast,0.5–1 m,Treating as edible,Toxic berries
Tribulus terrestris,full sun,very low,sandy soil,25–45°C,low,outdoor,ground,fast,0.1–0.3 m,Handling thorns,None
Pterocarpus marsupium,full sun,moderate,deep forest soil,20–35°C,medium,outdoor,ground,slow,15–20 m,Early harvesting,None
Holarrhena pubescens,full sun,low,well-drained loam,20–40°C,low,outdoor,ground,slow,8–12 m,Waterlogging,None
Phyllanthus emblica,full sun,low,light loam,20–40°C,low,outdoor,ground,moderate,8–12 m,Poor pruning,None
Mesua ferrea,partial shade,moderate,deep forest soil,18–35°C,high,outdoor,ground,slow,15–20 m,Dry conditions,None
Clerodendrum phlomidis,full sun,low,rocky dry soil,20–40°C,low,outdoor,ground,moderate,2–3 m,Overwatering,None
Cissampelos pareira,partial shade,moderate,forest loam,20–35°C,medium,outdoor,ground,moderate,2–4 m,Overharvesting,None
Bacopa monnieri,full sun to partial shade,high,wet clay loam,20–35°C,high,outdoor,ground,fast,0.1–0.3 m,Dry soil,None
Buchanania lanzan,full sun,low,rocky forest soil,20–40°C,low,outdoor,ground,slow,10–15 m,Seedling neglect,None
Berberis aristata,full sun to partial shade,low,rocky loam,5–25°C,low,outdoor,ground,slow,2–3 m,Overwatering,None
Picrorhiza kurroa,partial shade,moderate,alpine humus soil,5–20°C,low,outdoor,ground,slow,0.3–0.5 m,Heat exposure,None
Leptadenia reticulata,full sun,low,sandy loam,20–40°C,low,outdoor,ground,moderate,3–5 m,Excess irrigation,None
Boswellia serrata,full sun,very low,rocky dry soil,20–40°C,low,outdoor,ground,slow,6–10 m,Waterlogging,None
Plumbago zeylanica,full sun,low,well-drained soil,20–40°C,low,outdoor,ground,moderate,1–1.5 m,Improper dosage,Toxic root
Cyperus rotundus,full sun,low,disturbed soils,20–40°C,low,outdoor,ground,fast,0.3–0.6 m,Overcontrol,None
Andrographis paniculata,full sun,moderate,well-drained loam,20–35°C,medium,outdoor,ground,fast,0.6–1 m,Late harvest,None
Phyllanthus niruri,full sun to partial shade,moderate,moist soil,20–35°C,medium,outdoor,ground,fast,0.3–0.6 m,Confusing species,None
Aconitum ferox,full sun,moderate,alpine soil,5–20°C,low,outdoor,ground,slow,0.6–1 m,Untrained handling,Extremely toxic
Aconitum heterophyllum,full sun,moderate,alpine loam,5–20°C,low,outdoor,ground,slow,0.6–1 m,Improper processing,Toxic raw
Saussurea lappa,full sun,moderate,alpine soil,5–20°C,low,outdoor,ground,slow,1–1.5 m,Overharvesting,None
Oroxylum indicum,full sun,moderate,deep loam,20–40°C,medium,outdoor,ground,moderate,12–18 m,Ignoring spacing,None
Gmelina arborea,full sun,moderate,well-drained soil,20–40°C,medium,outdoor,ground,fast,15–25 m,Shallow soil,None
Premna serratifolia,full sun to partial shade,moderate,coastal loam,20–40°C,medium,outdoor,ground,moderate,6–10 m,Drought stress,None
Stereospermum suaveolens,full sun,moderate,deep loam,20–40°C,medium,outdoor,ground,slow,20–30 m,Early harvesting,None
Cyperus scariosus,full sun,low,sandy loam,20–40°C,low,outdoor,ground,fast,0.4–0.6 m,Confusing species,None
Pluchea lanceolata,full sun,high,marshy soil,20–35°C,high,outdoor,ground,moderate,1–2 m,Dry conditions,None
Fritillaria roylei,full sun,moderate,alpine loam,5–20°C,low,outdoor,ground,slow,0.3–0.6 m,Overcollection,None
Cinnamomum tamala,partial shade,moderate,forest loam,10–30°C,medium,outdoor,ground,slow,10–15 m,Excess sun,None
Curcuma aromatica,partial shade,moderate,rich loam,20–35°C,high,outdoor,ground,moderate,0.8–1.2 m,Poor drainage,None
